Fuori,Id,Nome,Squadra,R,RM,Qt.I,Qt.A,Qt.I M,Qt.A M,FVM,FVM M,Trasferimento
1,218,Perin,JUV,P,POR,6,6,6,6,5,5,Juventus -> Palermo (Definitivo)
0,5761,Zhegrova,JUV,C,W,6,6,5,5,20,18,
0,2832,Boga,JUV,A,W;A,6,6,7,7,26,29,
0,5620,Tavares N.,LAZ,D,DS;E,6,6,6,6,12,12,
0,2188,Marusic,LAZ,D,DD;DS;E,6,6,6,6,20,23,
0,6556,Noslin,LAZ,A,A,6,6,6,6,17,17,
0,6632,Gaspar K.,LEC,D,DC,5,6,5,6,12,12,
0,6990,Veiga D.,LEC,D,DD;E,5,6,5,6,12,12,
0,4502,Gallo,LEC,D,DS;E,6,6,6,6,13,13,
0,6549,Pierotti,LEC,C,W,6,6,5,5,19,17,
0,7008,Gimenez,MIL,A,PC,6,6,5,5,10,10,
0,7485,Mangas,MON,D,DS;E,6,6,6,6,15,15,Sporting CP -> Monza (Prestito con obbligo condizionato)
0,6593,Akinsanmiro,MON,C,C,6,6,6,6,12,12,Inter -> Monza (Prestito con obbligo condizionato)
0,6202,Beukema,NAP,D,DC,6,6,6,6,12,12,
0,6831,Neres,NAP,A,W;A,6,6,7,7,17,20,
1,6663,Circati,PAR,D,DC,6,6,6,6,18,18,Parma -> Benfica (Definitivo)
0,4349,Nicolussi Caviglia,PAR,C,M;C,6,6,7,7,16,21,
0,2528,Matic,SAS,C,M;C,5,6,6,7,15,17,
0,6495,Comuzzo,TOR,D,DC,6,6,6,6,13,13,Fiorentina -> Torino (Prestito con Diritto Riscatto)
0,6170,Gineitis,TOR,C,M;C,5,6,6,7,12,15,
0,6248,Stankovic F.,VEN,P,POR,6,6,6,6,12,12,
0,7253,Bella-Kotchap,VEN,D,DC,6,6,6,6,13,13,Verona -> Venezia (Definitivo)
0,5674,Basic,VEN,C,M;C,6,6,7,7,19,20,Lazio -> Venezia (Definitivo)
0,7329,Obrador,SAS,D,DS;E,6,6,6,6,15,15,Torino -> Benfica (Fine Prestito)
0,7146,Tourè I.,MON,C,E;M,6,6,8,8,14,17,Pisa -> Monza (Definitivo)
0,2640,Kolasinac,ATA,D,DS;DC,5,5,6,6,8,10,
0,4896,Maldini,CAG,A,T;A,5,5,6,6,21,21,Lazio -> Atalanta (Fine Prestito)
0,7068,Vitik,BOL,D,DC,5,5,5,5,10,10,
0,5678,Holm,BOL,D,DD;E,5,5,5,5,13,13,Juventus -> Bologna (Fine Prestito)
0,7528,Amondarain,BOL,C,M;C,5,5,6,6,12,14,Estudiantes -> Bologna (Definitivo)
0,7532,Kofler,CAG,D,DC,5,5,5,5,8,8,
0,7274,Zè Pedro,CAG,D,DD;DC,5,5,6,6,13,15,
0,6640,Felici,CAG,C,W,5,5,4,4,8,8,
0,6893,Kempf,COM,D,DC,5,5,5,5,13,13,
0,7127,Addai,COM,C,W;A,5,5,4,4,10,8,
0,5449,Parisi,FIO,D,DS;E,5,5,5,5,10,10,
0,6415,Palmisani,FRO,P,POR,4,5,4,5,12,12,
0,7469,Bracaglia,FRO,D,DS;DC,5,5,5,5,12,14,
0,6238,Oyono A.,FRO,D,DD;E,5,5,5,5,10,10,
0,5998,Zerbin,FRO,C,W,5,5,4,4,12,10,Napoli -> Frosinone (Definitivo)
0,2593,Martin,GEN,D,DS;E,5,5,5,5,8,8,
0,7341,Amorim,GEN,C,M;C,4,5,5,6,11,13,
0,7409,Meichtry,GEN,C,W;T,5,5,5,5,11,13,Thun -> Genoa (Definitivo)
0,2857,Traorè Hj.,GEN,C,W;T,5,5,5,5,11,11,Olympique Marsiglia -> Genoa (Prestito con Diritto Riscatto)
0,2529,Mkhitaryan,INT,C,C,5,5,5,5,10,10,
0,6766,Kelly L.,JUV,D,DS;DC,5,5,6,6,12,14,
0,5685,Koopmeiners,JUV,C,C;T,5,5,5,5,13,13,
0,4817,Pedraza,LAZ,D,DS;E,5,5,5,5,15,15,Villarreal -> Lazio (Definitivo)
0,6629,Dele-Bashiru,LAZ,C,C;T,5,5,5,5,13,13,
0,7240,Siebert,LEC,D,DC,4,5,4,5,12,12,
0,6015,Berisha M.,LEC,C,C;T,5,5,5,5,12,12,
0,7318,Gandelman,LEC,C,C;T,5,5,5,5,10,10,
0,4686,Fofana Y.,MIL,C,M;C,5,5,6,6,10,12,
0,7203,Jashari,MIL,C,C,4,5,4,5,13,13,
0,6519,Camarda,MIL,A,PC,5,5,4,4,20,17,Lecce -> Milan (Fine Prestito)
0,4485,Thiam,MON,P,POR,5,5,5,5,11,11,
0,5882,Mota,MON,A,A,5,5,5,5,10,10,
0,7523,Varela G.,MON,A,PC,3,5,3,5,20,17,Benfica -> Monza (Definitivo)
0,2170,Milinkovic-Savic V.,NAP,P,POR,5,5,5,5,7,7,
0,5840,Olivera,NAP,D,B;DS;E,5,5,6,6,13,15,
0,6898,Keita M.,PAR,C,M;C,5,5,6,6,15,17,
1,6984,Ondrejka,PAR,C,W;A,5,5,4,4,18,16,Parma -> Groningen (Prestito)
0,7213,Frigan,PAR,A,A,5,5,5,5,10,10,
0,6986,Rensch,ROM,D,B;DD;E,5,5,6,6,14,16,
0,6677,Adzic,SAS,C,C;T,5,5,5,5,16,16,Juventus -> Sassuolo (Prestito con diritto e controriscatto)
0,7036,Bakola,SAS,C,C;T,5,5,5,5,14,14,
0,6426,Pedersen,TOR,D,DD;E,5,5,5,5,12,12,
0,7060,Cacciamani,TOR,C,E;W,5,5,6,6,20,23,Juve Stabia -> Torino (Fine Prestito)
0,6827,Njie,TOR,C,W;A,4,5,3,4,14,16,
0,7198,Piotrowski,UDI,C,M;C,5,5,6,6,15,17,
0,6890,Moreno M.,VEN,D,DC,5,5,5,5,6,6,Fiorentina -> Venezia (Prestito con obbligo condizionato)
0,4845,Correia T.,VEN,D,DD;E,4,5,4,5,12,12,Valencia -> Venezia (Definitivo)
0,5695,Haps,VEN,D,DS;E,5,5,5,5,10,10,
0,5507,Busio,VEN,C,M;C,5,5,6,6,14,17,
0,5319,Sohm,VEN,C,C,5,5,5,5,11,11,Fiorentina -> Venezia (Prestito con Diritto Riscatto)
0,6994,Perez K.,VEN,C,C;T,5,5,5,5,15,15,
0,4387,Adorante,VEN,A,PC,5,5,4,4,12,10,
0,7550,Grillitsch,FRO,C,M;C,5,5,5,5,10,13,Braga -> Frosinone (Definitivo)
0,2012,Milik,JUV,A,PC,5,5,4,4,13,11,
0,6618,Cissè A.,MIL,C,W;T,3,5,3,5,25,25,
0,7069,Fortini,TOR,D,E,5,5,4,4,12,12,Fiorentina -> Torino (Prestito con Diritto Riscatto)
0,7564,Leysen F.,SAS,D,DS;DC,5,5,6,6,12,14,Union Saint Gilloise -> Sassuolo (Prestito con obbligo condizionato)
0,7610,Birligea,FRO,A,PC,5,5,5,5,14,14,Steaua -> Frosinone (Prestito con obbligo condizionato)
0,6145,Ngonge,MON,A,A,5,5,5,5,13,13,Napoli -> Monza (Prestito con Diritto Riscatto)
0,22,De Roon,ATA,C,M;C,4,4,5,5,8,10,
